picture: 2, pencil: 1, x: 1485, y: 244, w: 170, h: 2709
picture: 3, pencil: 1, x: 153, y: 431, w: 2723, h: 179
picture: 4, pencil: 1, x: 3619, y: 163, w: 158, h: 2848
picture: 4, pencil: 2, x: 1245, y: 90, w: 138, h: 2864
picture: 5, pencil: 1, x: 783, y: 149, w: 1242, h: 2505
picture: 5, pencil: 2, x: 2245, y: 146, w: 1093, h: 2554
picture: 6, pencil: 1, x: 2650, y: 615, w: 1130, h: 2449
picture: 6, pencil: 2, x: 1930, y: 447, w: 1146, h: 2453
picture: 6, pencil: 3, x: 1244, y: 351, w: 1203, h: 2398
picture: 7, pencil: 1, x: 1182, y: 313, w: 155, h: 2694
picture: 7, pencil: 2, x: 2207, y: 294, w: 151, h: 2724
picture: 7, pencil: 3, x: 3681, y: 267, w: 152, h: 2721
picture: 8, pencil: 1, x: 732, y: 2776, w: 2772, h: 136
picture: 9, pencil: 1, x: 407, y: 772, w: 1684, h: 2066
picture: 9, pencil: 2, x: 3469, y: 155, w: 143, h: 2780
picture: 10, pencil: 1, x: 439, y: 699, w: 1779, h: 2194
picture: 10, pencil: 2, x: 3220, y: 150, w: 673, h: 2741
picture: 11, pencil: 1, x: 410, y: 606, w: 1678, h: 1984
picture: 11, pencil: 2, x: 3201, y: 161, w: 175, h: 2748
picture: 11, pencil: 3, x: 3632, y: 127, w: 142, h: 2774
picture: 12, pencil: 1, x: 462, y: 716, w: 1719, h: 1953
